time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/n_updates,train/std,train/loss,train/approx_kl,train/clip_fraction,train/clip_range,train/learning_rate,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/value_loss
939,65536,32,69,310,1.0513780117034912,-0.021480586379766464,0.005074774,0.01064453125,0.2,0.0001,-2.9427205197513104,0.0,-0.0014801699013332835,2.0632793628453955e-05
965,67584,33,69,320,1.046868085861206,-0.019394338130950928,0.0051930533,0.01767578125,0.2,0.0001,-2.9345182709395887,0.0,-0.000520251682610251,4.515734659536839e-06
991,69632,34,70,330,1.0474563837051392,-0.026101145893335342,0.003667757,0.0076171875,0.2,0.0001,-2.9301191471517085,5.960464477539063e-08,0.0005139288914506324,2.9866096798742555e-07
1016,71680,35,70,340,1.0396499633789062,-0.03578720986843109,0.0058889566,0.01005859375,0.2,0.0001,-2.9216664515435697,-1.1920928955078125e-07,-0.0011614263901719823,1.2474248032483606e-07
1043,73728,36,70,350,1.0321815013885498,-0.03286150470376015,0.0032058014,0.00849609375,0.2,0.0001,-2.907678551226854,-1.1920928955078125e-07,4.5542469888459894e-05,7.999244845645349e-08
1070,75776,37,70,360,1.034977912902832,-0.04738444834947586,0.0030602333,0.007666015625,0.2,0.0001,-2.9039511308073997,-1.1920928955078125e-07,-0.00046551380364689976,5.315802827656445e-08
1096,77824,38,70,370,1.0336757898330688,-0.02028460055589676,0.004059069,0.018603515625,0.2,0.0001,-2.905449860543013,0.0,-0.00047267397167161107,1.6414066082171865e-05
1123,79872,39,71,380,1.0323095321655273,-0.028384242206811905,0.005546677,0.0333984375,0.2,0.0001,-2.902403827011585,0.0,-0.0019857114442856983,1.0513972318053518e-08
1150,81920,40,71,390,1.0266282558441162,-0.016301391646265984,0.006412255,0.04541015625,0.2,0.0001,-2.896405125409365,2.384185791015625e-07,-0.0021610399591736494,3.42662186915664e-06
1176,83968,41,71,400,1.0317370891571045,-0.03125954791903496,0.0052546775,0.045849609375,0.2,0.0001,-2.8946370370686054,0.0,-0.003629479862865992,3.7085848265819634e-09
1203,86016,42,71,410,1.0257761478424072,-0.015498889610171318,0.007758108,0.091015625,0.2,0.0001,-2.8949407510459424,0.0,-0.0020261020836187527,5.658383590875617e-05
1229,88064,43,71,420,1.0215089321136475,-0.039140015840530396,0.0032061662,0.005322265625,0.2,0.0001,-2.8843898445367815,0.0,0.0003144817892462015,3.728669301295961e-07
1256,90112,44,71,430,1.0255893468856812,-0.013176373206079006,0.002916729,0.015673828125,0.2,0.0001,-2.8839791260659693,0.0,-2.3316615261137487e-05,1.3581623773361012e-08
1282,92160,45,71,440,1.0225659608840942,-0.019481640309095383,0.0054633655,0.0650390625,0.2,0.0001,-2.8855213426053523,0.0,-0.0022928021906409414,6.034118978925918e-08
1308,94208,46,71,450,1.0166409015655518,-0.03906790167093277,0.0025479558,0.00751953125,0.2,0.0001,-2.877875793725252,1.1920928955078125e-07,-0.0007197934377472847,6.91225690346766e-08
1335,96256,47,72,460,1.012627363204956,-0.025407370179891586,0.0050408067,0.026708984375,0.2,0.0001,-2.866970806568861,0.0,-0.000804647128097713,2.136297130423369e-08
1362,98304,48,72,470,1.0127215385437012,-0.017993081361055374,0.0039842655,0.02275390625,0.2,0.0001,-2.8622551880776883,0.0,-0.0018605155986733735,2.495761030547536e-07
1389,100352,49,72,480,1.0026674270629883,-0.037951305508613586,0.0017939105,0.00576171875,0.2,0.0001,-2.8531530372798444,5.960464477539063e-08,-0.0009215276513714343,1.6291781866780396e-08
